"Initial Value","Initial Value"
"Current Value","Current Value"
Order,Order
"Sender Email","Sender Email"
Edit,Edit
"Generate Loyalty Voucher Accounts in Bulk","Generate Loyalty Voucher Accounts in Bulk"
Generate,Generate
"All Store Views","All Store Views"
"Bought From","Bought From"
"Order #","Order #"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Shipped to Name","Shipped to Name"
"Order Total","Order Total"
View,View
"Gift Card","Loyalty Voucher"
50,50
